Unknown command: 'runsererr'. Did you mean runserver?
Type 'manage.py help' for usage.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
[12/Aug/2022 00:15:39] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[12/Aug/2022 00:15:39] "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
[12/Aug/2022 00:16:43] "POST /admin/jhpy/notice/add/ HTTP/1.1" 302 0
[12/Aug/2022 00:16:44] "GET /admin/jhpy/notice/ HTTP/1.1" 200 5388
[12/Aug/2022 00:16:44] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[12/Aug/2022 00:16:44] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[12/Aug/2022 00:16:54] "GET / HTTP/1.1" 200 5441
[12/Aug/2022 00:16:54] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[12/Aug/2022 00:16:54] "GET /static/style.css HTTP/1.1" 200 0
[12/Aug/2022 00:16:54] "GET /static/bootstrap.min.js HTTP/1.1" 200 59219
Not Found: /favicon.ico
[12/Aug/2022 00:16:54] "GET /favicon.ico HTTP/1.1" 404 2822
[12/Aug/2022 13:53:11] "GET / HTTP/1.1" 200 5441
[12/Aug/2022 13:53:12] "GET /static/bootstrap.min.js HTTP/1.1" 200 59219
[12/Aug/2022 13:53:13] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[12/Aug/2022 13:53:13] "GET /static/style.css HTTP/1.1" 200 0
Not Found: /favicon.ico
[12/Aug/2022 13:53:14] "GET /favicon.ico HTTP/1.1" 404 2822
[13/Aug/2022 13:18:29] "GET / HTTP/1.1" 200 5441
[13/Aug/2022 13:18:29] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[13/Aug/2022 13:18:29] "GET /static/bootstrap.min.js HTTP/1.1" 200 59219
[13/Aug/2022 13:18:29] "GET /static/style.css HTTP/1.1" 200 0
Not Found: /favicon.ico
[13/Aug/2022 13:18:30] "GET /favicon.ico HTTP/1.1" 404 2822
[13/Aug/2022 13:18:35] "GET /jhpy/notice/7/ HTTP/1.1" 200 3011
[13/Aug/2022 13:18:45] "GET /jhpy/qna/ HTTP/1.1" 200 6386
[13/Aug/2022 13:18:54] "GET / HTTP/1.1" 200 5441
[13/Aug/2022 22:19:51] "GET / HTTP/1.1" 200 5441
[13/Aug/2022 22:19:51] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[13/Aug/2022 22:19:51] "GET /static/style.css HTTP/1.1" 200 0
[13/Aug/2022 22:19:51] "GET /static/bootstrap.min.js HTTP/1.1" 200 59219
Not Found: /favicon.ico
[13/Aug/2022 22:19:52] "GET /favicon.ico HTTP/1.1" 404 2822
[13/Aug/2022 22:20:05] "GET /admin HTTP/1.1" 301 0
[13/Aug/2022 22:20:06] "GET /admin/ HTTP/1.1" 200 7867
[13/Aug/2022 22:20:07] "GET /static/admin/css/base.css HTTP/1.1" 200 16378
[13/Aug/2022 22:20:07] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 412
[13/Aug/2022 22:20:08] "GET /static/admin/css/responsive.css HTTP/1.1" 200 17944
[13/Aug/2022 22:20:10] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[13/Aug/2022 22:20:13] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
[13/Aug/2022 22:20:13] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[13/Aug/2022 22:20:13] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
[13/Aug/2022 22:20:13] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[13/Aug/2022 22:20:13] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
[13/Aug/2022 22:20:14] "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
[13/Aug/2022 22:20:17] "GET /admin/jhpy/filesadmin/ HTTP/1.1" 200 4718
[13/Aug/2022 22:20:17] "GET /static/admin/css/changelists.css HTTP/1.1" 200 6170
[13/Aug/2022 22:20:18] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
[13/Aug/2022 22:20:18] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6918
[13/Aug/2022 22:20:18] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:20:18] "GET /static/admin/js/core.js HTTP/1.1" 200 7099
[13/Aug/2022 22:20:18] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 271817
[13/Aug/2022 22:20:18] "GET /static/admin/js/actions.js HTTP/1.1" 200 6766
[13/Aug/2022 22:20:18] "GET /static/admin/js/urlify.js HTTP/1.1" 200 8941
[13/Aug/2022 22:20:18] "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1530
[13/Aug/2022 22:20:18] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 128820
[13/Aug/2022 22:20:19] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[13/Aug/2022 22:20:22] "GET /admin/jhpy/filesadmin/add/ HTTP/1.1" 200 4556
[13/Aug/2022 22:20:22] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:20:22] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 495
[13/Aug/2022 22:20:22] "GET /static/admin/js/change_form.js HTTP/1.1" 200 712
[13/Aug/2022 22:20:22] "GET /static/admin/css/forms.css HTTP/1.1" 200 8518
[13/Aug/2022 22:20:22] "GET /static/admin/css/widgets.css HTTP/1.1" 200 10340
[13/Aug/2022 22:21:12] "GET / HTTP/1.1" 200 5441
[13/Aug/2022 22:21:12] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[13/Aug/2022 22:21:12] "GET /static/bootstrap.min.js HTTP/1.1" 200 59219
[13/Aug/2022 22:21:12] "GET /static/style.css HTTP/1.1" 200 0
Not Found: /favicon.ico
[13/Aug/2022 22:21:13] "GET /favicon.ico HTTP/1.1" 404 2822
[13/Aug/2022 22:21:16] "GET / HTTP/1.1" 200 5441
[13/Aug/2022 22:21:18] "GET /download/ HTTP/1.1" 200 3555
[13/Aug/2022 22:21:22] "GET /media/media/LogoMakerCa-1660396734100.png HTTP/1.1" 200 2845219
[13/Aug/2022 22:21:22] "GET /media/media/LogoMakerCa-1660396734100.png HTTP/1.1" 200 2845219
[13/Aug/2022 22:21:40] "GET /admin HTTP/1.1" 301 0
[13/Aug/2022 22:21:40] "GET /admin/ HTTP/1.1" 200 7960
[13/Aug/2022 22:21:40] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 412
[13/Aug/2022 22:21:40] "GET /static/admin/css/base.css HTTP/1.1" 200 16378
[13/Aug/2022 22:21:40] "GET /static/admin/css/responsive.css HTTP/1.1" 200 17944
[13/Aug/2022 22:21:40] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[13/Aug/2022 22:21:41] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[13/Aug/2022 22:21:41] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[13/Aug/2022 22:21:41] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
[13/Aug/2022 22:21:41] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
[13/Aug/2022 22:21:41] "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
[13/Aug/2022 22:21:41] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
[13/Aug/2022 22:21:44] "GET /admin/jhpy/filesadmin/ HTTP/1.1" 200 5853
[13/Aug/2022 22:21:44] "GET /static/admin/css/changelists.css HTTP/1.1" 200 6170
[13/Aug/2022 22:21:44] "GET /static/admin/js/core.js HTTP/1.1" 200 7099
[13/Aug/2022 22:21:44] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 271817
[13/Aug/2022 22:21:44] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
[13/Aug/2022 22:21:44] "GET /static/admin/js/actions.js HTTP/1.1" 200 6766
[13/Aug/2022 22:21:44] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6918
[13/Aug/2022 22:21:44] "GET /static/admin/js/urlify.js HTTP/1.1" 200 8941
[13/Aug/2022 22:21:44] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:21:45] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 128820
[13/Aug/2022 22:21:45] "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1530
[13/Aug/2022 22:21:45] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[13/Aug/2022 22:21:51] "GET /admin/jhpy/filesadmin/7/change/ HTTP/1.1" 200 4932
[13/Aug/2022 22:21:52] "GET /static/admin/css/forms.css HTTP/1.1" 200 8518
[13/Aug/2022 22:21:52] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 495
[13/Aug/2022 22:21:52] "GET /static/admin/js/change_form.js HTTP/1.1" 200 712
[13/Aug/2022 22:21:52] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:21:52] "GET /static/admin/css/widgets.css HTTP/1.1" 200 10340
[13/Aug/2022 22:21:53] "GET /admin/jhpy/filesadmin/7/delete/ HTTP/1.1" 200 3289
[13/Aug/2022 22:21:53] "GET /static/admin/js/cancel.js HTTP/1.1" 200 409
[13/Aug/2022 22:21:54] "POST /admin/jhpy/filesadmin/7/delete/ HTTP/1.1" 302 0
[13/Aug/2022 22:21:55] "GET /admin/jhpy/filesadmin/ HTTP/1.1" 200 6699
[13/Aug/2022 22:21:55] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:21:55] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[13/Aug/2022 22:21:58] "GET /admin/jhpy/filesadmin/11/change/ HTTP/1.1" 200 4934
[13/Aug/2022 22:21:58] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:21:59] "GET /admin/jhpy/filesadmin/11/delete/ HTTP/1.1" 200 3291
[13/Aug/2022 22:22:01] "POST /admin/jhpy/filesadmin/11/delete/ HTTP/1.1" 302 0
[13/Aug/2022 22:22:02] "GET /admin/jhpy/filesadmin/ HTTP/1.1" 200 6467
[13/Aug/2022 22:22:03] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:22:05] "GET /admin/jhpy/filesadmin/10/change/ HTTP/1.1" 200 4934
[13/Aug/2022 22:22:06] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:22:10] "GET /admin/jhpy/filesadmin/10/delete/ HTTP/1.1" 200 3291
[13/Aug/2022 22:22:11] "POST /admin/jhpy/filesadmin/10/delete/ HTTP/1.1" 302 0
[13/Aug/2022 22:22:12] "GET /admin/jhpy/filesadmin/ HTTP/1.1" 200 6238
[13/Aug/2022 22:22:12] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:22:13] "GET /admin/jhpy/filesadmin/9/change/ HTTP/1.1" 200 4932
[13/Aug/2022 22:22:13] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:22:14] "GET /admin/jhpy/filesadmin/9/delete/ HTTP/1.1" 200 3289
[13/Aug/2022 22:22:15] "POST /admin/jhpy/filesadmin/9/delete/ HTTP/1.1" 302 0
[13/Aug/2022 22:22:16] "GET /admin/jhpy/filesadmin/ HTTP/1.1" 200 6011
[13/Aug/2022 22:22:16] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:22:17] "GET /admin/jhpy/filesadmin/8/change/ HTTP/1.1" 200 4932
[13/Aug/2022 22:22:17] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:22:18] "GET /admin/jhpy/filesadmin/8/delete/ HTTP/1.1" 200 3289
[13/Aug/2022 22:22:19] "POST /admin/jhpy/filesadmin/8/delete/ HTTP/1.1" 302 0
[13/Aug/2022 22:22:19] "GET /admin/jhpy/filesadmin/ HTTP/1.1" 200 5784
[13/Aug/2022 22:22:19] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:22:28] "POST /admin/jhpy/filesadmin/ HTTP/1.1" 200 3716
[13/Aug/2022 22:22:30] "POST /admin/jhpy/filesadmin/ HTTP/1.1" 302 0
[13/Aug/2022 22:22:30] "GET /admin/jhpy/filesadmin/ HTTP/1.1" 200 5104
[13/Aug/2022 22:22:31] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:22:33] "GET /admin/jhpy/filesadmin/3/change/ HTTP/1.1" 200 4916
[13/Aug/2022 22:22:33] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[13/Aug/2022 22:22:35] "GET /admin/jhpy/filesadmin/ HTTP/1.1" 200 4945
[13/Aug/2022 22:22:42] "GET / HTTP/1.1" 200 5441
[13/Aug/2022 22:22:42] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[13/Aug/2022 22:22:42] "GET /static/bootstrap.min.js HTTP/1.1" 200 59219
[13/Aug/2022 22:22:42] "GET /static/style.css HTTP/1.1" 200 0
Not Found: /favicon.ico
[13/Aug/2022 22:22:42] "GET /favicon.ico HTTP/1.1" 404 2822
[13/Aug/2022 22:22:45] "GET /download/ HTTP/1.1" 200 3221
[13/Aug/2022 22:22:48] "GET /media/media/LogoMakerCa-1660396734100.png HTTP/1.1" 200 2845219
[13/Aug/2022 22:22:49] "GET /media/media/LogoMakerCa-1660396734100.png HTTP/1.1" 200 2845219
[13/Aug/2022 22:23:26] "GET /media/media/LogoMakerCa-1660396734100.png HTTP/1.1" 200 2845219
[13/Aug/2022 22:23:26] "GET /media/media/LogoMakerCa-1660396734100.png HTTP/1.1" 200 2845219
[14/Aug/2022 13:23:43] "GET / HTTP/1.1" 200 5554
[14/Aug/2022 13:23:43] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[14/Aug/2022 13:23:43] "GET /static/bootstrap.min.js HTTP/1.1" 200 59219
[14/Aug/2022 13:23:43] "GET /static/style.css HTTP/1.1" 200 0
Not Found: /favicon.ico
[14/Aug/2022 13:23:43] "GET /favicon.ico HTTP/1.1" 404 2822
[14/Aug/2022 13:42:17] "GET / HTTP/1.1" 200 5616
[14/Aug/2022 13:42:17] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
Not Found: /workspace/jhserver/static/maindesign.jpg
[14/Aug/2022 13:42:17] "GET /workspace/jhserver/static/maindesign.jpg HTTP/1.1" 404 2909
[14/Aug/2022 13:42:17] "GET /static/style.css HTTP/1.1" 200 0
[14/Aug/2022 13:42:18] "GET / HTTP/1.1" 200 5616
Not Found: /workspace/jhserver/static/maindesign.jpg
[14/Aug/2022 13:42:18] "GET /workspace/jhserver/static/maindesign.jpg HTTP/1.1" 404 2909
[14/Aug/2022 13:43:54] "GET / HTTP/1.1" 200 5605
Not Found: /jhserver/static/maindesign.jpg
[14/Aug/2022 13:43:54] "GET /jhserver/static/maindesign.jpg HTTP/1.1" 404 2879
[14/Aug/2022 13:43:54] "GET / HTTP/1.1" 200 5605
Not Found: /jhserver/static/maindesign.jpg
[14/Aug/2022 13:43:55] "GET /jhserver/static/maindesign.jpg HTTP/1.1" 404 2879
[14/Aug/2022 13:44:16] "GET / HTTP/1.1" 200 5589
Not Found: /maindesign.jpg
[14/Aug/2022 13:44:16] "GET /maindesign.jpg HTTP/1.1" 404 2831
[14/Aug/2022 13:44:17] "GET / HTTP/1.1" 200 5589
Not Found: /maindesign.jpg
[14/Aug/2022 13:44:17] "GET /maindesign.jpg HTTP/1.1" 404 2831
[14/Aug/2022 13:44:31] "GET / HTTP/1.1" 200 5589
Not Found: /maindesign.jpg
[14/Aug/2022 13:44:31] "GET /maindesign.jpg HTTP/1.1" 404 2831
